driver_id,driver_name,street,wet,outperforming_car,driver_share_mean,starts
RUS,George Russell,0,1,0.07138331478255097,0.5354410805673202,28
RUS,George Russell,1,0,0.11926864630031479,0.5595763403791939,11
RUS,George Russell,1,1,0.09692985164408098,0.554580750925755,15
SAI,Carlos Sainz,0,0,0.5185470006137903,0.771885650453628,57
SAI,Carlos Sainz,0,1,0.45305049438707484,0.743333556321201,30
SAI,Carlos Sainz,1,0,0.5622321179722547,0.8019715463578033,14
SAI,Carlos Sainz,1,1,0.41562856744054855,0.7359523434116972,15
SAR,Logan Sargeant,0,0,0.4901308839772672,0.7572490493638749,53
SAR,Logan Sargeant,0,1,0.41399411293193683,0.7180155465851912,22
SAR,Logan Sargeant,1,0,0.4558795586762046,0.7414403579460155,14
SAR,Logan Sargeant,1,1,0.45840190673312475,0.7406604479329678,15
STR,Lance Stroll,0,0,0.6935271362242957,0.801260913283221,54
STR,Lance Stroll,0,1,0.646042877940224,0.8079132365229044,28
STR,Lance Stroll,1,0,0.6868626052661301,0.8167907773077527,13
STR,Lance Stroll,1,1,0.6315528848451147,0.8008532240327935,17
TSU,Yuki Tsunoda,0,0,0.059877403085947016,0.5575125903755622,53
TSU,Yuki Tsunoda,0,1,-0.03372747799481147,0.5110550819332176,28
TSU,Yuki Tsunoda,1,0,0.07248939340307699,0.5676188995771235,13
TSU,Yuki Tsunoda,1,1,0.0181832488904006,0.5473451134740343,14
VER,Max Verstappen,0,0,-0.04231670685694426,0.47824599374638116,56
VER,Max Verstappen,0,1,-0.048285069781828914,0.47273320831366744,28
VER,Max Verstappen,1,0,-0.03831410109724138,0.4788565500010721,13
VER,Max Verstappen,1,1,-0.04316386492436879,0.47871281393743514,15
ZHO,Zhou Guanyu,0,0,-0.6760699186319594,0.10247481459731599,52
ZHO,Zhou Guanyu,0,1,-0.5764341585562385,0.14417420455933985,28
ZHO,Zhou Guanyu,1,0,-0.6507163160277104,0.11458742011722599,13
ZHO,Zhou Guanyu,1,1,-0.6246142554413479,0.13037602742642024,18
